Mushroom,IS_POISONOUS
Mushroom:1004,0
Mushroom:1029,0
Mushroom:1031,0
Mushroom:1034,0
Mushroom:1045,0
Mushroom:1048,0
Mushroom:1050,0
Mushroom:1071,0
Mushroom:1080,0
Mushroom:1101,0
Mushroom:1125,0
Mushroom:1135,0
Mushroom:1136,0
Mushroom:1141,0
Mushroom:1150,0
Mushroom:1202,0
Mushroom:1208,0
Mushroom:1210,0
Mushroom:1221,0
Mushroom:1239,0
Mushroom:1240,0
Mushroom:1242,0
Mushroom:1247,0
Mushroom:1262,0
Mushroom:1275,0
Mushroom:1279,0
Mushroom:1280,0
Mushroom:1281,0
Mushroom:1291,0
Mushroom:1296,0
Mushroom:1301,0
Mushroom:1310,0
Mushroom:1322,0
Mushroom:1328,0
Mushroom:1347,0
Mushroom:1350,0
Mushroom:1355,0
Mushroom:1369,0
Mushroom:1376,0
Mushroom:1381,0
Mushroom:1391,0
Mushroom:1407,0
Mushroom:1412,0
Mushroom:1417,0
Mushroom:1475,0
Mushroom:1504,0
Mushroom:1512,0
Mushroom:1517,0
Mushroom:1524,0
Mushroom:1528,0
Mushroom:1536,0
Mushroom:1546,0
Mushroom:1553,0
Mushroom:1555,0
Mushroom:1589,0
Mushroom:1591,0
Mushroom:1593,0
Mushroom:1596,0
Mushroom:1602,0
Mushroom:1612,0
Mushroom:1613,0
Mushroom:1616,0
Mushroom:1619,0
Mushroom:1642,0
Mushroom:1655,0
Mushroom:1670,0
Mushroom:1678,0
Mushroom:1679,0
Mushroom:1686,0
Mushroom:1708,0
Mushroom:1731,0
Mushroom:1736,0
Mushroom:1743,0
Mushroom:1750,0
Mushroom:1758,0
Mushroom:1769,0
Mushroom:1772,0
Mushroom:1773,0
Mushroom:1785,0
Mushroom:1791,0
Mushroom:1796,0
Mushroom:1797,0
Mushroom:1801,0
Mushroom:1804,0
Mushroom:1807,0
Mushroom:1810,0
Mushroom:1815,0
Mushroom:1829,0
Mushroom:1835,0
Mushroom:1845,0
Mushroom:1848,0
Mushroom:1855,0
Mushroom:1863,0
Mushroom:1871,0
Mushroom:1873,0
Mushroom:1874,0
Mushroom:1888,0
Mushroom:1899,1
Mushroom:1903,1
Mushroom:1904,1
Mushroom:1908,1
Mushroom:1912,1
Mushroom:1921,1
Mushroom:1948,1
Mushroom:1955,1
Mushroom:1970,1
Mushroom:1972,1
Mushroom:1988,1
Mushroom:1999,1
Mushroom:2003,1
Mushroom:2007,1
Mushroom:2016,1
Mushroom:2050,1
Mushroom:2063,1
Mushroom:2070,1
Mushroom:2087,1
Mushroom:2099,1
Mushroom:2102,1
Mushroom:2117,1
Mushroom:2126,1
Mushroom:2129,1
Mushroom:2141,1
Mushroom:2168,0
Mushroom:2175,0
Mushroom:2200,0
Mushroom:2202,0
Mushroom:2211,0
Mushroom:2223,0
Mushroom:2231,0
Mushroom:2242,0
Mushroom:2249,0
Mushroom:2251,0
Mushroom:2271,0
Mushroom:2291,0
Mushroom:2294,0
